===Act Controller Alarm Table File===
;ID,Group-Code,Comment
1,001-001,SETON OFF时WRST ON
2,001-002,BUSY ON时WRST ON
3,001-003,Alarm_Comment_003
4,001-004,Alarm_Comment_004
5,001-005,Alarm_Comment_005
6,001-006,Alarm_Comment_006
7,001-007,Alarm_Comment_007
8,001-008,Alarm_Comment_008
9,001-009,Alarm_Comment_009
10,001-010,Alarm_Comment_010
11,001-011,Alarm_Comment_011
12,001-012,Alarm_Comment_012
13,001-013,Alarm_Comment_013
14,001-014,Alarm_Comment_014
15,001-015,Alarm_Comment_015
16,001-016,Alarm_Comment_016
17,001-017,Alarm_Comment_017
18,001-018,Alarm_Comment_018
19,001-019,Alarm_Comment_019
20,001-020,Alarm_Comment_020
21,001-021,Alarm_Comment_021
22,001-022,Alarm_Comment_022
23,001-023,Alarm_Comment_023
24,001-024,Alarm_Comment_024
25,001-025,Alarm_Comment_025
26,001-026,Alarm_Comment_026
27,001-027,Alarm_Comment_027
28,001-028,Alarm_Comment_028
29,001-029,Alarm_Comment_029
30,001-030,Alarm_Comment_030
31,001-031,Alarm_Comment_031
32,001-032,Alarm_Comment_032
33,001-033,Alarm_Comment_033
34,001-034,Alarm_Comment_034
35,001-035,Alarm_Comment_035
36,001-036,Alarm_Comment_036
37,001-037,Alarm_Comment_037
38,001-038,Alarm_Comment_038
39,001-039,Alarm_Comment_039
40,001-040,Alarm_Comment_040
41,001-041,Alarm_Comment_041
42,001-042,Alarm_Comment_042
43,001-043,Alarm_Comment_043
44,001-044,Alarm_Comment_044
45,001-045,Alarm_Comment_045
46,001-046,Alarm_Comment_046
47,001-047,Alarm_Comment_047
48,001-048,运行数据错误
49,001-049,系统参数错误
50,001-050,指示未完成减速时的运转数据
51,001-051,指示未登陆运行数据No.
52,001-052,指示超行程（±）
53,001-053,Alarm_Comment_053
54,001-054,Alarm_Comment_054
55,001-055,Alarm_Comment_055
56,001-056,Alarm_Comment_056
57,001-057,Alarm_Comment_057
58,001-058,Alarm_Comment_058
59,001-059,Alarm_Comment_059
60,001-060,Alarm_Comment_060
61,001-061,Alarm_Comment_061
62,001-062,Alarm_Comment_062
63,001-063,Alarm_Comment_063
64,001-064,Alarm_Comment_064
65,001-065,Alarm_Comment_065
66,001-066,Alarm_Comment_066
67,001-067,Alarm_Comment_067
68,001-068,Alarm_Comment_068
69,001-069,Alarm_Comment_069
70,001-070,Alarm_Comment_070
71,001-071,Alarm_Comment_071
72,001-072,Alarm_Comment_072
73,001-073,Alarm_Comment_073
74,001-074,Alarm_Comment_074
75,001-075,Alarm_Comment_075
76,001-076,Alarm_Comment_076
77,001-077,Alarm_Comment_077
78,001-078,Alarm_Comment_078
79,001-079,Alarm_Comment_079
80,001-080,Alarm_Comment_080
81,001-081,Alarm_Comment_081
82,001-082,Alarm_Comment_082
83,001-083,Alarm_Comment_083
84,001-084,Alarm_Comment_084
85,001-085,Alarm_Comment_085
86,001-086,Alarm_Comment_086
87,001-087,Alarm_Comment_087
88,001-088,Alarm_Comment_088
89,001-089,Alarm_Comment_089
90,001-090,Alarm_Comment_090
91,001-091,Alarm_Comment_091
92,001-092,Alarm_Comment_092
93,001-093,Alarm_Comment_093
94,001-094,Alarm_Comment_094
95,001-095,Alarm_Comment_095
96,001-096,推动时反推力达到最大限度，位置不稳定
97,001-097,原点未在设定时间内复位
98,001-098,伺服机构OFF时运行指示
99,001-099,原点复位未结束时DRIVE ON
100,001-100,绝对式编码器初始化未完成
101,001-101,绝对式编码器发送数据时电机回转
102,001-102,未接电源时，电机以过高速度回转
103,001-103,运行范围内传感器无法检出
104,001-104,Alarm_Comment_104
105,001-105,Alarm_Comment_105
106,001-106,Alarm_Comment_106
107,001-107,Alarm_Comment_107
108,001-108,位置偏差异常
109,001-109,Alarm_Comment_109
110,001-110,Alarm_Comment_110
111,001-111,Alarm_Comment_111
112,001-112,Alarm_Comment_112
113,001-113,Alarm_Comment_113
114,001-114,Alarm_Comment_114
115,001-115,Alarm_Comment_115
116,001-116,Alarm_Comment_116
117,001-117,Alarm_Comment_117
118,001-118,Alarm_Comment_118
119,001-119,Alarm_Comment_119
120,001-120,Alarm_Comment_120
121,001-121,Alarm_Comment_121
122,001-122,Alarm_Comment_122
123,001-123,Alarm_Comment_123
124,001-124,Alarm_Comment_124
125,001-125,Alarm_Comment_125
126,001-126,Alarm_Comment_126
127,001-127,Alarm_Comment_127
128,001-128,Alarm_Comment_128
129,001-129,Alarm_Comment_129
130,001-130,Alarm_Comment_130
131,001-131,Alarm_Comment_131
132,001-132,Alarm_Comment_132
133,001-133,Alarm_Comment_133
134,001-134,Alarm_Comment_134
135,001-135,Alarm_Comment_135
136,001-136,Alarm_Comment_136
137,001-137,Alarm_Comment_137
138,001-138,Alarm_Comment_138
139,001-139,Alarm_Comment_139
140,001-140,Alarm_Comment_140
141,001-141,Alarm_Comment_141
