Time;A1;A2;A3;A4;A5;A6;Wait
1000;NULL;NULL;NULL;NULL;NULL;NULL;1
1000;950;500;NULL;2500;1310;NULL;0
500;950;500;NULL;2500;1310;NULL;0
500;950;500;NULL;2500;1300;NULL;0
1000;1800;NULL;NULL;NULL;NULL;NULL;0
1000;NULL;NULL;NULL;2300;1600;NULL;0
1000;NULL;NULL;NULL;2340;1280;940;0
1000;NULL;1000;NULL;NULL;NULL;NULL;0
1000;NULL;NULL;NULL;2150;1180;860;0
3000;NULL;1860;NULL;NULL;NULL;NULL;0
2000;NULL;NULL;NULL;NULL;NULL;NULL;0
1000;NULL;1000;NULL;NULL;NULL;NULL;0
1000;NULL;500;NULL;2310;1600;1500;0
1000;NULL;500;NULL;2310;1360;1500;0
1000;NULL;NULL;NULL;2500;1360;NULL;0
1000;950;NULL;NULL;NULL;NULL;NULL;0
1000;1500;1500;1500;1500;1500;1500;0
