Time;A1;A2;A3;A4;A5;A6;Wait
1000;NULL;NULL;NULL;NULL;NULL;NULL;1
2000;500;500;1478;2310;1260;800;0
1000;500;500;1478;2310;1260;800;0
1000;500;500;1478;2380;1260;800;0
1000;896;NULL;1568;NULL;NULL;NULL;0
1000;896;NULL;1568;NULL;NULL;NULL;0
1000;NULL;NULL;1500;NULL;NULL;900;0
1000;1200;760;NULL;NULL;NULL;NULL;0
1000;1420;NULL;NULL;NULL;NULL;NULL;0
1000;NULL;500;NULL;2265;NULL;NULL;0
500;NULL;500;NULL;2260;NULL;NULL;0
500;NULL;500;NULL;2260;NULL;NULL;0
1000;1800;NULL;NULL;NULL;NULL;NULL;0
1000;NULL;NULL;NULL;NULL;1500;NULL;0
1000;NULL;1332;NULL;NULL;NULL;NULL;0
1000;NULL;1567;2265;2216;1455;1745;0
1000;NULL;1520;NULL;2325;NULL;NULL;0
1000;1500;NULL;NULL;NULL;NULL;NULL;0
1500;1100;NULL;NULL;NULL;NULL;NULL;0
1000;1100;NULL;1884;NULL;NULL;NULL;0
3000;NULL;NULL;NULL;NULL;NULL;NULL;1
1000;NULL;NULL;2260;NULL;NULL;NULL;0
1000;1800;NULL;NULL;NULL;NULL;NULL;0
1000;NULL;NULL;1681;NULL;NULL;NULL;0
1000;NULL;500;1500;2260;1500;900;0
1000;NULL;NULL;NULL;NULL;1260;900;0
1000;NULL;NULL;NULL;NULL;1260;800;0
1000;NULL;NULL;NULL;NULL;NULL;750;0
1000;NULL;NULL;NULL;NULL;1240;740;0
1000;1100;NULL;NULL;NULL;NULL;NULL;0
1000;1100;NULL;NULL;NULL;NULL;650;0
1000;1500;1500;1500;1500;1500;1500;0
