Time;A1;A2;A3;A4;A5;A6;Wait
1000;NULL;NULL;NULL;NULL;NULL;NULL;1
2000;950;500;NULL;2500;1320;NULL;0
1000;1450;NULL;NULL;NULL;NULL;NULL;0
1000;NULL;NULL;NULL;2300;1600;NULL;0
1000;NULL;NULL;NULL;2340;1280;940;0
1000;NULL;1000;NULL;NULL;NULL;NULL;0
1000;NULL;NULL;NULL;2150;1180;860;0
3000;NULL;1860;NULL;NULL;NULL;NULL;0
2000;NULL;NULL;NULL;NULL;NULL;NULL;1
1000;NULL;1000;NULL;NULL;NULL;NULL;0
1000;NULL;500;NULL;2300;1600;1520;0
1000;NULL;NULL;NULL;2500;1340;NULL;0
1000;950;NULL;NULL;NULL;NULL;NULL;0
1000;1500;1500;1500;1500;1500;1500;0
3000;NULL;NULL;NULL;NULL;NULL;NULL;1
2000;NULL;NULL;NULL;NULL;NULL;NULL;1
2000;500;500;1478;2380;1260;800;0
1000;896;NULL;1568;NULL;NULL;NULL;0
1000;NULL;NULL;1500;NULL;NULL;900;0
1000;1200;760;NULL;2400;1380;880;0
1000;1800;NULL;NULL;NULL;NULL;860;0
1000;NULL;NULL;NULL;2000;NULL;NULL;0
1000;NULL;1443;1482;NULL;NULL;1615;0
1000;NULL;1677;2363;2126;NULL;NULL;0
3000;NULL;NULL;NULL;NULL;NULL;NULL;1
1000;NULL;1443;1482;2000;NULL;NULL;0
1000;NULL;760;1500;NULL;NULL;860;0
1000;NULL;NULL;NULL;2400;NULL;NULL;0
1000;NULL;700;1320;NULL;NULL;NULL;0
1000;896;NULL;NULL;NULL;NULL;NULL;0
1000;NULL;NULL;NULL;2000;NULL;NULL;0
1000;1500;1500;1500;1500;1500;1500;0
